investor_id,sip_transaction_count,average_gap_days,total_sip_amount,status
INV001602,6,93.8,66310,At-Risk
INV004704,6,93.8,86091,At-Risk
INV000652,6,93.8,34837,At-Risk
INV001005,6,93.6,74535,At-Risk
INV000238,6,93.6,146422,At-Risk
INV000028,6,93.6,84262,At-Risk
INV004181,6,93.4,151759,At-Risk
INV004738,6,93.2,47110,At-Risk
INV001055,6,93.2,77109,At-Risk
INV003985,6,93.0,25396,At-Risk
INV001545,6,92.8,85986,At-Risk
INV000673,6,92.8,145533,At-Risk
INV000087,6,92.8,105288,At-Risk
INV000737,6,92.6,146341,At-Risk
INV003683,6,92.4,85416,At-Risk
INV001316,6,92.4,14835,At-Risk
INV003350,6,92.4,27929,At-Risk
INV003968,6,92.4,55226,At-Risk
INV001196,6,92.2,61840,At-Risk
INV001287,6,92.2,74519,At-Risk
INV000245,6,92.2,46023,At-Risk
INV001623,6,92.0,62993,At-Risk
INV000217,6,92.0,44146,At-Risk
INV002138,6,91.8,20298,At-Risk
INV000076,6,91.8,50910,At-Risk
INV003112,6,91.6,68105,At-Risk
INV002418,6,91.6,34952,At-Risk
INV003718,6,91.4,81262,At-Risk
INV000457,6,91.4,32725,At-Risk
INV003028,6,91.4,77674,At-Risk
INV003437,6,91.2,43627,At-Risk
INV000862,6,91.2,119139,At-Risk
INV000950,6,91.0,37182,At-Risk
INV002984,6,91.0,49158,At-Risk
INV003492,6,90.8,39990,At-Risk
INV004421,6,90.8,74958,At-Risk
INV000297,6,90.6,22338,At-Risk
INV004392,6,90.4,140197,At-Risk
INV003604,6,90.2,71928,At-Risk
INV002090,6,90.2,38375,At-Risk
INV003545,6,90.0,34569,At-Risk
INV000783,6,89.8,138175,At-Risk
INV002903,6,89.6,34145,At-Risk
INV002606,6,89.6,73666,At-Risk
INV003936,6,89.6,111274,At-Risk
INV002154,6,89.4,42587,At-Risk
INV003260,6,89.4,66384,At-Risk
INV000145,6,89.4,127034,At-Risk
INV001741,6,89.4,94729,At-Risk
INV002547,6,89.0,19927,At-Risk
INV000291,6,89.0,76178,At-Risk
INV003521,6,89.0,46547,At-Risk
INV003329,6,89.0,113204,At-Risk
INV003733,6,88.8,14893,At-Risk
INV001418,6,88.6,27688,At-Risk
INV000597,6,88.6,82488,At-Risk
INV000710,6,88.6,62975,At-Risk
INV001997,6,88.6,23078,At-Risk
INV001641,6,88.4,77129,At-Risk
INV000243,6,88.2,58145,At-Risk
INV002743,6,88.2,40865,At-Risk
INV004146,6,88.2,87690,At-Risk
INV003526,6,88.2,30478,At-Risk
INV002434,6,88.2,38421,At-Risk
INV000133,6,88.2,74695,At-Risk
INV004015,6,88.0,9734,At-Risk
INV003868,6,87.6,104999,At-Risk
INV004127,6,87.6,24949,At-Risk
INV002586,6,87.2,73304,At-Risk
INV004523,6,87.2,50318,At-Risk
INV004247,6,87.2,72050,At-Risk
INV004913,6,87.0,93099,At-Risk
INV001954,6,86.8,38164,At-Risk
INV003744,6,86.8,23676,At-Risk
INV000418,6,86.8,113497,At-Risk
INV004517,6,86.6,23579,At-Risk
INV004174,6,86.6,189509,At-Risk
INV003344,6,86.6,30966,At-Risk
INV002989,6,86.6,97001,At-Risk
INV003095,6,86.6,64248,At-Risk
INV000625,6,86.4,23397,At-Risk
INV001912,6,86.4,72585,At-Risk
INV001507,6,86.2,24004,At-Risk
INV002476,6,86.0,74851,At-Risk
INV001419,6,85.8,67428,At-Risk
INV001982,6,85.8,118849,At-Risk
INV003376,6,85.8,80609,At-Risk
INV002872,6,85.6,46749,At-Risk
INV003958,6,85.6,67157,At-Risk
INV000004,6,85.4,48256,At-Risk
INV000299,6,85.2,45557,At-Risk
INV003262,6,85.2,140022,At-Risk
INV003865,7,85.17,47194,At-Risk
INV002627,6,85.0,40609,At-Risk
INV002284,6,85.0,113616,At-Risk
INV004123,6,85.0,74440,At-Risk
INV001317,6,84.8,29592,At-Risk
INV002001,6,84.8,35997,At-Risk
INV000836,6,84.8,127974,At-Risk
INV004308,7,84.67,78626,At-Risk
INV002961,7,84.67,116671,At-Risk
INV003422,7,84.67,84910,At-Risk
INV004434,6,84.6,79432,At-Risk
INV003247,6,84.6,94982,At-Risk
INV000747,6,84.6,86939,At-Risk
INV003427,6,84.2,117717,At-Risk
INV004598,6,84.2,57630,At-Risk
INV003972,6,84.2,128157,At-Risk
INV001718,6,84.0,151909,At-Risk
INV002038,6,84.0,89042,At-Risk
INV004451,6,84.0,88776,At-Risk
INV004562,6,83.8,22466,At-Risk
INV002681,7,83.67,77813,At-Risk
INV000175,7,83.67,71320,At-Risk
INV000543,7,83.67,162711,At-Risk
INV000701,7,83.67,51486,At-Risk
INV000082,7,83.67,27594,At-Risk
INV004692,6,83.6,68610,At-Risk
INV001689,6,83.6,59823,At-Risk
INV001206,6,83.6,76395,At-Risk
INV004763,7,83.5,49983,At-Risk
INV001569,6,83.4,84525,At-Risk
INV004665,6,83.4,28833,At-Risk
INV001961,6,83.4,87250,At-Risk
INV000103,6,83.4,20675,At-Risk
INV002417,7,83.33,126729,At-Risk
INV001978,6,83.2,33387,At-Risk
INV000396,6,83.2,46049,At-Risk
INV001699,6,83.2,103956,At-Risk
INV003231,7,83.0,61212,At-Risk
INV000759,7,83.0,44038,At-Risk
INV001041,7,83.0,72624,At-Risk
INV004314,6,83.0,112485,At-Risk
INV004764,6,83.0,35426,At-Risk
INV000072,6,83.0,49372,At-Risk
INV002134,7,82.67,29028,At-Risk
INV003144,7,82.5,54671,At-Risk
INV003014,6,82.4,203009,At-Risk
INV003480,6,82.4,37752,At-Risk
INV000407,6,82.4,112123,At-Risk
INV002835,7,82.33,66597,At-Risk
INV002909,7,82.33,78147,At-Risk
INV004412,7,82.33,52390,At-Risk
INV002495,6,82.2,64609,At-Risk
INV003813,6,82.2,64566,At-Risk
INV000128,6,82.0,38273,At-Risk
INV003896,6,82.0,42369,At-Risk
INV004216,7,82.0,67522,At-Risk
INV001691,6,82.0,40648,At-Risk
INV002567,6,82.0,51780,At-Risk
INV001251,6,82.0,142919,At-Risk
INV002769,7,82.0,149870,At-Risk
INV003757,7,81.83,54152,At-Risk
INV004845,6,81.8,90582,At-Risk
INV004293,6,81.8,112638,At-Risk
INV004367,6,81.6,144139,At-Risk
INV004992,7,81.5,71260,At-Risk
INV003222,7,81.5,46924,At-Risk
INV000599,7,81.5,103758,At-Risk
INV003713,7,81.5,123416,At-Risk
INV004457,6,81.4,76498,At-Risk
INV001115,6,81.4,51387,At-Risk
INV002809,6,81.4,27992,At-Risk
INV000081,7,81.33,54704,At-Risk
INV004986,7,81.33,68422,At-Risk
INV002070,7,81.33,70993,At-Risk
INV001310,6,81.2,48861,At-Risk
INV000724,6,81.2,33281,At-Risk
INV003825,6,81.2,81324,At-Risk
INV001690,7,81.17,62532,At-Risk
INV002758,6,81.0,100322,At-Risk
INV004452,7,81.0,122309,At-Risk
INV003151,6,81.0,38290,At-Risk
INV003310,6,80.8,33878,At-Risk
INV004650,6,80.8,52840,At-Risk
INV001923,7,80.67,42011,At-Risk
INV002466,7,80.67,96619,At-Risk
INV002761,6,80.6,61101,At-Risk
INV000545,6,80.6,48548,At-Risk
INV001548,6,80.6,71244,At-Risk
INV001434,6,80.6,73116,At-Risk
INV001482,6,80.6,84250,At-Risk
INV002684,6,80.6,81047,At-Risk
INV004364,6,80.6,29363,At-Risk
INV001161,6,80.6,146262,At-Risk
INV004877,7,80.5,74162,At-Risk
INV003562,7,80.5,77371,At-Risk
INV003196,7,80.33,34448,At-Risk
INV000888,7,80.33,98413,At-Risk
INV002101,6,80.2,71140,At-Risk
INV003709,6,80.2,52354,At-Risk
INV003685,6,80.2,142912,At-Risk
INV002828,6,80.0,24496,At-Risk
INV000926,6,80.0,67012,At-Risk
INV001332,7,80.0,56992,At-Risk
INV002700,7,79.83,40488,At-Risk
INV004271,6,79.8,65605,At-Risk
INV000979,6,79.8,141450,At-Risk
INV001178,7,79.67,37864,At-Risk
INV001797,7,79.67,45355,At-Risk
INV003712,6,79.6,64551,At-Risk
INV004614,6,79.6,64197,At-Risk
INV003037,7,79.5,42399,At-Risk
INV001428,6,79.4,72032,At-Risk
INV004896,6,79.4,125806,At-Risk
INV002574,6,79.4,98204,At-Risk
INV001969,6,79.2,22578,At-Risk
INV004804,6,79.2,105080,At-Risk
INV001356,6,79.2,39847,At-Risk
INV003060,7,79.0,69534,At-Risk
INV001550,7,79.0,85924,At-Risk
INV001472,6,79.0,119937,At-Risk
INV003395,6,79.0,56160,At-Risk
INV003660,6,79.0,67446,At-Risk
INV003705,6,78.8,114828,At-Risk
INV003633,6,78.8,123491,At-Risk
INV003811,7,78.67,133025,At-Risk
INV003054,7,78.67,76249,At-Risk
INV001376,7,78.67,66059,At-Risk
INV001333,7,78.67,11779,At-Risk
INV001651,7,78.67,162293,At-Risk
INV002051,6,78.6,101112,At-Risk
INV003710,6,78.6,86512,At-Risk
INV002429,6,78.6,95082,At-Risk
INV001744,7,78.5,84479,At-Risk
INV001375,7,78.5,46716,At-Risk
INV004860,6,78.4,42106,At-Risk
INV004196,7,78.33,129129,At-Risk
INV000581,7,78.33,58863,At-Risk
INV003593,6,78.2,94754,At-Risk
INV004633,7,78.17,67555,At-Risk
INV002119,6,78.0,82710,At-Risk
INV002155,6,78.0,24270,At-Risk
INV002240,7,77.83,28229,At-Risk
INV000499,7,77.83,127344,At-Risk
INV002260,6,77.8,43224,At-Risk
INV004324,7,77.67,66304,At-Risk
INV004688,6,77.6,25122,At-Risk
INV003876,6,77.6,105794,At-Risk
INV003556,6,77.6,37784,At-Risk
INV002582,6,77.4,18333,At-Risk
INV003161,6,77.4,45870,At-Risk
INV000195,6,77.4,21739,At-Risk
INV001092,7,77.33,75632,At-Risk
INV000429,6,77.2,117284,At-Risk
INV003672,6,77.2,129739,At-Risk
INV003849,6,77.2,155813,At-Risk
INV002351,6,77.2,66039,At-Risk
INV001220,7,77.17,18410,At-Risk
INV003736,7,77.17,58959,At-Risk
INV002671,7,77.17,121426,At-Risk
INV004191,7,77.17,45090,At-Risk
INV000803,7,77.17,75412,At-Risk
INV000392,7,77.17,39530,At-Risk
INV000539,7,77.0,107371,At-Risk
INV000363,7,77.0,59677,At-Risk
INV002628,6,77.0,42616,At-Risk
INV001130,7,76.83,139695,At-Risk
INV003134,7,76.83,111805,At-Risk
INV004468,7,76.83,84516,At-Risk
INV001400,6,76.8,111893,At-Risk
INV003191,6,76.8,31967,At-Risk
INV003697,7,76.67,97774,At-Risk
INV002622,7,76.67,64167,At-Risk
INV002724,6,76.6,94701,At-Risk
INV002859,7,76.5,102010,At-Risk
INV003779,6,76.4,17001,At-Risk
INV002327,6,76.4,17936,At-Risk
INV003531,6,76.4,71480,At-Risk
INV002531,7,76.33,30854,At-Risk
INV004865,7,76.33,103440,At-Risk
INV002786,7,76.33,94391,At-Risk
INV000563,7,76.33,59358,At-Risk
INV001291,6,76.2,118076,At-Risk
INV000138,6,76.2,156066,At-Risk
INV004285,7,76.17,92708,At-Risk
INV001870,7,76.0,151119,At-Risk
INV001955,6,76.0,80106,At-Risk
INV000310,7,75.83,46368,At-Risk
INV003696,6,75.8,110522,At-Risk
INV002852,6,75.8,72731,At-Risk
INV002674,6,75.8,109896,At-Risk
INV002256,6,75.6,86659,At-Risk
INV004636,6,75.6,130293,At-Risk
INV000920,6,75.6,97652,At-Risk
INV003592,6,75.6,69765,At-Risk
INV004916,7,75.5,93354,At-Risk
INV000014,7,75.33,140315,At-Risk
INV004984,7,75.33,94301,At-Risk
INV000761,7,75.17,115474,At-Risk
INV004066,7,75.17,60661,At-Risk
INV003379,7,75.17,53335,At-Risk
INV000635,6,75.0,30163,At-Risk
INV000779,6,75.0,12215,At-Risk
INV001579,7,75.0,133855,At-Risk
INV002186,7,74.83,110455,At-Risk
INV000075,6,74.8,147761,At-Risk
INV003074,6,74.8,78967,At-Risk
INV000056,6,74.8,60977,At-Risk
INV002543,7,74.67,90368,At-Risk
INV003720,6,74.6,23110,At-Risk
INV002010,6,74.6,111364,At-Risk
INV004037,6,74.6,45922,At-Risk
INV002521,6,74.6,46638,At-Risk
INV002772,7,74.5,59984,At-Risk
INV003448,7,74.5,22057,At-Risk
INV004502,7,74.5,66742,At-Risk
INV000562,6,74.4,48292,At-Risk
INV002863,6,74.4,64141,At-Risk
INV001180,6,74.4,104216,At-Risk
INV003267,6,74.4,20825,At-Risk
INV001943,6,74.4,63792,At-Risk
INV003514,6,74.2,90699,At-Risk
INV000593,6,74.2,31078,At-Risk
INV002342,6,74.2,43134,At-Risk
INV002643,6,74.2,32343,At-Risk
INV003785,6,74.2,113979,At-Risk
INV003040,6,74.0,51162,At-Risk
INV004716,7,74.0,67590,At-Risk
INV003775,6,74.0,112218,At-Risk
INV004069,6,74.0,46504,At-Risk
INV003435,7,73.83,94339,At-Risk
INV003043,7,73.83,78142,At-Risk
INV003484,6,73.8,108256,At-Risk
INV000774,7,73.67,83715,At-Risk
INV002913,7,73.67,83828,At-Risk
INV004005,7,73.67,105889,At-Risk
INV002236,7,73.67,38246,At-Risk
INV002006,6,73.6,56278,At-Risk
INV002706,6,73.6,69684,At-Risk
INV004091,6,73.6,18538,At-Risk
INV002827,6,73.6,31630,At-Risk
INV004403,6,73.6,14286,At-Risk
INV002150,6,73.6,57183,At-Risk
INV004847,7,73.5,51384,At-Risk
INV000873,7,73.5,44839,At-Risk
INV000540,7,73.5,78276,At-Risk
INV003314,7,73.5,179149,At-Risk
INV000319,7,73.5,40143,At-Risk
INV000974,7,73.5,40022,At-Risk
INV003430,6,73.4,54715,At-Risk
INV004208,6,73.4,57000,At-Risk
INV003034,6,73.4,92731,At-Risk
INV000466,7,73.33,125151,At-Risk
INV001274,7,73.33,56609,At-Risk
INV004473,7,73.33,39115,At-Risk
INV000444,6,73.2,76737,At-Risk
INV004119,6,73.2,82689,At-Risk
INV003424,7,73.17,60522,At-Risk
INV004958,7,73.17,146343,At-Risk
INV001454,7,73.0,37667,At-Risk
INV002177,7,73.0,93321,At-Risk
INV000161,7,73.0,44287,At-Risk
INV002905,6,73.0,41724,At-Risk
INV004770,8,72.86,133901,At-Risk
INV000321,7,72.83,91225,At-Risk
INV004288,7,72.83,56841,At-Risk
INV000719,7,72.83,131252,At-Risk
INV001831,6,72.8,47766,At-Risk
INV002420,6,72.8,54588,At-Risk
INV002891,8,72.71,91856,At-Risk
INV003702,7,72.67,99074,At-Risk
INV000074,8,72.57,106669,At-Risk
INV003815,7,72.5,67344,At-Risk
INV001683,7,72.5,80088,At-Risk
INV001359,7,72.5,109856,At-Risk
INV004349,7,72.5,148067,At-Risk
INV004357,8,72.43,52555,At-Risk
INV001023,8,72.43,38036,At-Risk
INV003380,6,72.4,35744,At-Risk
INV002458,6,72.4,80628,At-Risk
INV002750,6,72.4,54778,At-Risk
INV003793,7,72.33,134386,At-Risk
INV004741,7,72.33,75811,At-Risk
INV004228,7,72.33,93293,At-Risk
INV000754,7,72.33,97616,At-Risk
INV004787,7,72.33,59162,At-Risk
INV003336,7,72.33,134860,At-Risk
INV003711,6,72.2,87930,At-Risk
INV000830,6,72.2,77141,At-Risk
INV003210,6,72.2,18851,At-Risk
INV004147,6,72.2,66900,At-Risk
INV003580,7,72.17,64406,At-Risk
INV002879,7,72.17,67219,At-Risk
INV001547,7,72.17,75405,At-Risk
INV004581,8,72.14,22116,At-Risk
INV003619,6,72.0,31477,At-Risk
INV000553,6,72.0,54698,At-Risk
INV002555,7,72.0,87655,At-Risk
INV001625,6,72.0,15000,At-Risk
INV004672,7,72.0,96541,At-Risk
INV002315,7,71.83,71574,At-Risk
INV000497,7,71.83,72087,At-Risk
INV002824,7,71.83,129424,At-Risk
INV001298,7,71.83,13160,At-Risk
INV004038,7,71.67,197810,At-Risk
INV002280,7,71.67,48070,At-Risk
INV003885,6,71.6,81864,At-Risk
INV000575,6,71.6,43192,At-Risk
INV003897,6,71.6,83553,At-Risk
INV003824,7,71.5,89175,At-Risk
INV002530,8,71.43,74111,At-Risk
INV004761,6,71.4,42001,At-Risk
INV004589,6,71.4,114379,At-Risk
INV003830,6,71.4,138223,At-Risk
INV004232,6,71.4,31031,At-Risk
INV001432,6,71.4,22656,At-Risk
INV002208,7,71.33,113907,At-Risk
INV004079,7,71.33,78640,At-Risk
INV003693,7,71.33,102514,At-Risk
INV001885,6,71.2,16314,At-Risk
INV004179,6,71.2,81566,At-Risk
INV003044,7,71.17,60913,At-Risk
INV002107,8,71.14,100667,At-Risk
INV004997,7,71.0,128346,At-Risk
INV000132,6,71.0,88403,At-Risk
INV003564,8,71.0,196080,At-Risk
INV002219,8,70.86,41599,At-Risk
INV003670,8,70.86,83061,At-Risk
INV004925,7,70.83,51377,At-Risk
INV001223,7,70.83,81600,At-Risk
INV002799,6,70.8,77732,At-Risk
INV000210,8,70.71,93572,At-Risk
INV003658,8,70.71,44354,At-Risk
INV002732,8,70.71,96854,At-Risk
INV003940,7,70.67,88836,At-Risk
INV004647,7,70.67,39400,At-Risk
INV004889,7,70.67,65286,At-Risk
INV002766,6,70.6,73612,At-Risk
INV002736,6,70.6,64757,At-Risk
INV000259,6,70.6,81938,At-Risk
INV000045,6,70.6,114438,At-Risk
INV003487,6,70.6,96051,At-Risk
INV001351,7,70.5,146308,At-Risk
INV000469,7,70.5,34180,At-Risk
INV002182,7,70.5,127872,At-Risk
INV000483,8,70.43,142115,At-Risk
INV002202,8,70.43,16013,At-Risk
INV002485,6,70.4,58588,At-Risk
INV000008,6,70.4,72853,At-Risk
INV003607,6,70.4,24597,At-Risk
INV003745,6,70.2,26414,At-Risk
INV000554,6,70.2,56741,At-Risk
INV000256,6,70.2,31902,At-Risk
INV002370,7,70.17,89876,At-Risk
INV000507,7,70.17,58920,At-Risk
INV003228,7,70.17,88333,At-Risk
INV002373,8,70.14,177377,At-Risk
INV003047,8,70.14,137083,At-Risk
INV002640,7,70.0,66928,At-Risk
INV002490,8,70.0,221876,At-Risk
INV000304,7,70.0,79554,At-Risk
INV004825,7,70.0,49187,At-Risk
INV004401,8,69.86,104242,At-Risk
INV000287,7,69.83,64351,At-Risk
INV001242,6,69.8,26658,At-Risk
INV004661,8,69.71,73293,At-Risk
INV004270,7,69.67,41505,At-Risk
INV001724,7,69.67,87580,At-Risk
INV003022,6,69.6,108990,At-Risk
INV000440,8,69.57,33647,At-Risk
INV004780,7,69.5,69763,At-Risk
INV001326,8,69.43,103082,At-Risk
INV001026,6,69.4,51600,At-Risk
INV000095,6,69.4,92823,At-Risk
INV004212,7,69.33,131156,At-Risk
INV001752,7,69.33,50982,At-Risk
INV003078,7,69.17,55176,At-Risk
INV003946,7,69.17,65153,At-Risk
INV002232,7,69.17,105171,At-Risk
INV000793,8,69.14,105129,At-Risk
INV004871,8,69.14,163615,At-Risk
INV001536,7,69.0,108107,At-Risk
INV002034,8,69.0,75286,At-Risk
INV000196,7,69.0,80685,At-Risk
INV004413,8,69.0,86246,At-Risk
INV003211,7,69.0,73285,At-Risk
INV003673,8,68.86,63876,At-Risk
INV003611,7,68.83,97349,At-Risk
INV002019,6,68.8,50866,At-Risk
INV003962,8,68.71,199896,At-Risk
INV001021,7,68.67,54295,At-Risk
INV000630,7,68.67,55182,At-Risk
INV004959,6,68.6,32047,At-Risk
INV003707,6,68.6,152934,At-Risk
INV001401,6,68.6,39421,At-Risk
INV002228,6,68.6,75215,At-Risk
INV000039,6,68.6,99338,At-Risk
INV003912,6,68.6,11911,At-Risk
INV003880,8,68.57,52016,At-Risk
INV001921,8,68.57,94294,At-Risk
INV001238,7,68.5,45560,At-Risk
INV003844,7,68.5,80033,At-Risk
INV000427,7,68.5,106145,At-Risk
INV002121,7,68.5,69342,At-Risk
INV000263,8,68.43,157678,At-Risk
INV004640,7,68.33,41628,At-Risk
INV004085,7,68.33,104748,At-Risk
INV002357,7,68.33,77648,At-Risk
INV001715,8,68.29,103613,At-Risk
INV001329,6,68.2,60331,At-Risk
INV001170,6,68.2,70673,At-Risk
INV002735,7,68.17,88635,At-Risk
INV003978,8,68.14,45310,At-Risk
INV001415,8,68.14,48063,At-Risk
INV003352,8,68.14,113976,At-Risk
INV000283,6,68.0,24362,At-Risk
INV003598,8,68.0,28496,At-Risk
INV004863,7,68.0,35988,At-Risk
INV002746,8,68.0,48769,At-Risk
INV000667,6,68.0,117715,At-Risk
INV003724,7,68.0,80168,At-Risk
INV003458,8,67.86,35913,At-Risk
INV004175,8,67.86,89272,At-Risk
INV000169,7,67.83,48708,At-Risk
INV004475,7,67.83,82023,At-Risk
INV002153,7,67.83,28131,At-Risk
INV002187,7,67.83,51698,At-Risk
INV002218,6,67.8,78519,At-Risk
INV003518,6,67.8,38843,At-Risk
INV004641,6,67.8,64235,At-Risk
INV004340,6,67.8,48935,At-Risk
INV003223,8,67.71,115743,At-Risk
INV003741,7,67.67,55275,At-Risk
INV001606,7,67.67,95656,At-Risk
INV004070,7,67.67,33039,At-Risk
INV003795,7,67.67,58273,At-Risk
INV003205,7,67.67,50635,At-Risk
INV003981,7,67.67,81844,At-Risk
INV000725,7,67.67,89962,At-Risk
INV003252,6,67.6,102990,At-Risk
INV001645,6,67.6,48283,At-Risk
INV004547,7,67.5,31048,At-Risk
INV003230,7,67.5,59960,At-Risk
INV003141,7,67.5,87927,At-Risk
INV000949,7,67.5,49784,At-Risk
INV001629,7,67.5,34149,At-Risk
INV001181,8,67.43,91218,At-Risk
INV003613,8,67.43,85140,At-Risk
INV002277,7,67.33,58558,At-Risk
INV001163,7,67.33,33877,At-Risk
INV000833,8,67.29,88699,At-Risk
INV002497,8,67.29,105613,At-Risk
INV000570,8,67.29,136242,At-Risk
INV004128,6,67.2,95704,At-Risk
INV003916,6,67.2,84860,At-Risk
INV004953,7,67.17,50981,At-Risk
INV002557,7,67.17,32589,At-Risk
INV002937,7,67.17,137371,At-Risk
INV000236,8,67.14,112217,At-Risk
INV001282,6,67.0,50374,At-Risk
INV003506,7,67.0,27834,At-Risk
INV003641,8,67.0,91123,At-Risk
INV001987,7,67.0,101651,At-Risk
INV001017,6,67.0,27846,At-Risk
INV003000,7,67.0,54577,At-Risk
INV001173,6,67.0,58382,At-Risk
INV003113,8,66.86,115572,At-Risk
INV003920,8,66.86,110581,At-Risk
INV001510,7,66.83,113185,At-Risk
INV000578,7,66.83,91996,At-Risk
INV000146,6,66.8,88618,At-Risk
INV000607,7,66.67,38693,At-Risk
INV001275,7,66.67,51676,At-Risk
INV004844,7,66.67,25433,At-Risk
INV001712,6,66.6,66274,At-Risk
INV004203,8,66.57,70384,At-Risk
INV003117,8,66.57,74326,At-Risk
INV002178,8,66.43,66309,At-Risk
INV003557,6,66.4,49343,At-Risk
INV000691,6,66.4,50363,At-Risk
INV003083,6,66.4,38189,At-Risk
INV000414,8,66.29,95455,At-Risk
INV004926,8,66.29,93001,At-Risk
INV001929,6,66.2,67484,At-Risk
INV004145,6,66.2,27711,At-Risk
INV001039,6,66.2,19840,At-Risk
INV000415,7,66.17,42775,At-Risk
INV004785,7,66.17,54819,At-Risk
INV001047,7,66.17,52894,At-Risk
INV000844,7,66.17,48647,At-Risk
INV001694,8,66.14,146945,At-Risk
INV000662,8,66.14,34238,At-Risk
INV000645,6,66.0,26646,At-Risk
INV000777,6,66.0,20946,At-Risk
INV002602,8,66.0,95414,At-Risk
INV001336,8,65.86,94852,At-Risk
INV001711,7,65.83,26390,At-Risk
INV004446,6,65.8,58236,At-Risk
INV000079,6,65.8,42160,At-Risk
INV002563,6,65.8,18179,At-Risk
INV003479,8,65.71,90730,At-Risk
INV002241,7,65.67,40838,At-Risk
INV000887,7,65.67,115877,At-Risk
INV001644,6,65.6,123765,At-Risk
INV003511,8,65.57,71560,At-Risk
INV002632,8,65.57,70430,At-Risk
INV002711,8,65.57,73628,At-Risk
INV003105,7,65.5,121433,At-Risk
INV000177,8,65.43,51520,At-Risk
INV004833,6,65.4,58795,At-Risk
INV000869,6,65.4,29400,At-Risk
INV000102,8,65.29,114074,At-Risk
INV003766,8,65.29,94475,At-Risk
INV003185,6,65.2,78275,At-Risk
INV000709,7,65.17,143724,At-Risk
INV000463,7,65.17,144163,At-Risk
INV002159,6,65.0,57957,At-Risk
INV002613,8,65.0,23849,At-Risk
INV002585,6,65.0,46894,At-Risk
INV002945,8,65.0,119666,At-Risk
INV003089,6,65.0,72760,At-Risk
INV002085,6,65.0,89035,At-Risk
INV000101,8,65.0,112802,At-Risk
INV002673,8,65.0,205287,At-Risk
INV001587,7,65.0,72452,At-Risk
INV004563,7,64.83,31702,At-Risk
INV003289,7,64.83,105165,At-Risk
INV003781,7,64.83,47391,At-Risk
INV002803,7,64.83,32936,At-Risk
INV003300,6,64.8,92258,At-Risk
INV000010,6,64.8,32183,At-Risk
INV004332,8,64.71,22464,At-Risk
INV000657,8,64.71,103388,At-Risk
INV001455,8,64.71,47113,At-Risk
INV004631,8,64.71,69846,At-Risk
INV001008,7,64.67,63227,At-Risk
INV001530,7,64.67,18100,At-Risk
INV004118,6,64.6,33694,At-Risk
INV002229,6,64.6,113731,At-Risk
INV004629,8,64.57,146298,At-Risk
INV000591,7,64.5,15867,At-Risk
INV002295,7,64.5,97348,At-Risk
INV004646,7,64.5,73768,At-Risk
INV004335,8,64.43,97637,At-Risk
INV002510,7,64.33,83001,At-Risk
INV002900,6,64.2,74395,At-Risk
INV002779,6,64.2,120653,At-Risk
INV002947,7,64.17,35512,At-Risk
INV003011,7,64.17,49243,At-Risk
INV003524,7,64.17,74739,At-Risk
