amfi_code,cagr_1y,cagr_3y,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score,fund_score_100
119120,0.0572307956371807,0.05606028649588968,-0.2265753866279158,-0.3767670081706669,0.05620895216638369,-0.006413850728276477,-0.04328728923970093,0.77,32.0,37.0,34.0,9.0,5.0,27.500000000000004,28.35820895522386
101208,0.0685429952818637,0.060761500834302096,-0.8155673679088286,-1.6810378667512855,0.060861457957871144,0.00026670968338238433,-0.0016224980244717857,0.79,31.0,40.0,33.0,11.0,3.0,27.849999999999998,27.12906057945566
100025,0.025017601049311722,0.046143288414864925,-0.5670947928476847,-0.9418212366054207,0.042817920315060876,0.0011582183155281463,-0.04308263824636349,0.56,33.0,39.0,38.0,2.0,4.0,27.95,26.777875329236167
120842,0.18605448815462422,0.10040620430039637,0.07599984804658912,0.12469346986475656,0.0780443887615508,0.01805687420811816,-0.24003511326274884,1.56,27.0,30.0,29.0,33.0,33.0,29.65,20.807726075504824
119599,0.1190796983675011,-0.006866124385353167,-0.05718662582818005,-0.09438726129459621,0.048824215945539845,0.06200180438267168,-0.5257422117012851,0.72,37.0,32.0,36.0,5.5,40.0,31.125,15.627743634767327
119092,0.034029890817970365,0.005559688070353008,0.030784850954585913,0.05257398559304798,0.0689952982167755,0.009730745001153637,-0.1440161790933726,1.64,35.0,31.0,30.0,39.5,15.0,31.675,13.696224758560128
101207,-0.24242050015436856,-0.026964750873929244,0.16266076928646758,0.2766437962609231,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,1.53,39.0,28.0,27.0,28.5,38.0,32.175,11.940298507462684
119095,-0.454228926346248,-0.11065546853000663,-0.07597357117478937,-0.12818559275851954,0.048015953637759554,-0.066951174639292,-0.5167775370852656,1.38,40.0,33.0,37.0,17.0,39.0,34.1,5.1799824407374695
100016,-0.033055090768621787,-0.00031627759670682654,-0.20151706755966933,-0.3510474601523089,0.03747580763443281,-0.0582684314388089,-0.24734440880673303,1.55,36.0,35.0,39.0,32.0,34.0,35.55,0.08779631255486772
102886,-0.13226101829615933,-0.01832224809009908,-0.20583160785470306,-0.3472223025472726,0.028969397866379445,-0.04212502902189432,-0.2800112356639287,1.51,38.0,36.0,40.0,24.5,35.0,35.574999999999996,0.0
